Date,Price,Open,High,Low,Volume,
2-Jan-09,6.31,6.41,6.68,6.17,141.74K,
5-Jan-09,6.5,6.41,6.6,6.32,1.12M,
6-Jan-09,6.66,6.6,7.07,6.54,312.83K,
7-Jan-09,6.15,6.7,6.73,6.02,166.22K,
9-Jan-09,6.05,6.08,6.15,5.69,95.91K,
12-Jan-09,5.89,6.47,6.61,5.74,51.50K,
13-Jan-09,5.81,5.88,5.88,5.64,44.90K,
14-Jan-09,5.93,5.73,6.02,5.73,38.20K,
15-Jan-09,5.8,5.95,6.5,5.73,529.04K,
16-Jan-09,5.81,6.07,6.38,5.76,651.44K,
19-Jan-09,5.82,5.83,6.07,5.75,302.00K,
20-Jan-09,5.74,5.76,5.93,5.67,374.48K,
21-Jan-09,5.72,5.62,5.78,5.62,142.72K,
22-Jan-09,5.88,5.82,6.07,5.68,114.77K,
23-Jan-09,5.74,5.78,5.95,5.59,262.41K,
27-Jan-09,5.63,5.6,5.73,5.59,1.64M,
28-Jan-09,5.73,5.73,6.16,5.39,147.82K,
29-Jan-09,5.91,6.02,6.38,5.54,68.46K,
30-Jan-09,5.72,6.02,6.02,5.64,90.73K,
2-Feb-09,5.59,5.73,5.82,5.54,50.42K,
3-Feb-09,5.63,5.64,5.79,5.25,206.06K,
4-Feb-09,5.59,5.71,5.83,5.57,33.44K,
5-Feb-09,5.63,5.57,5.72,5.47,134.84K,
6-Feb-09,5.46,5.54,5.64,5.44,44.39K,
9-Feb-09,5.76,5.44,5.79,5.44,86.83K,
10-Feb-09,5.51,5.83,5.83,5.46,98.10K,
11-Feb-09,5.57,5.5,5.67,5.45,17.25K,
12-Feb-09,5.6,5.68,5.68,5.51,502.94K,
13-Feb-09,5.82,5.9,5.9,5.66,110.07K,
16-Feb-09,5.6,5.81,5.88,5.57,68.60K,
17-Feb-09,5.77,5.87,6.02,5.46,5.81M,
18-Feb-09,5.65,5.82,5.97,5.54,197.09K,
19-Feb-09,5.55,5.73,5.73,5.5,62.76K,
20-Feb-09,5.53,5.85,5.85,5.49,93.88K,
24-Feb-09,5.54,5.45,5.6,5.39,51.96K,
25-Feb-09,5.41,5.73,5.73,5.4,46.75K,
26-Feb-09,5.35,5.6,5.6,5.34,24.07K,
27-Feb-09,5.6,5.52,5.63,5.39,52.97K,
2-Mar-09,5.35,5.42,5.61,5.34,32.08K,
3-Mar-09,5.19,5.25,5.34,5.15,9.25K,
4-Mar-09,5.08,5.15,5.45,5,59.04K,
5-Mar-09,4.96,5.34,5.34,4.96,9.00K,
6-Mar-09,4.95,4.96,5.25,4.83,50.77K,
9-Mar-09,4.63,4.86,4.93,4.4,61.29K,
12-Mar-09,4.87,4.57,4.97,4.53,58.77K,
13-Mar-09,4.96,4.81,5.03,4.77,23.36K,
16-Mar-09,4.96,5.09,5.39,4.79,196.97K,
17-Mar-09,5.3,4.86,5.34,4.86,76.75K,
18-Mar-09,5.23,4.96,5.3,4.96,311.24K,
19-Mar-09,5.57,5.24,5.82,5.11,112.25K,
20-Mar-09,5.72,5.49,5.81,5.39,73.98K,
23-Mar-09,6.86,5.85,6.86,5.85,489.13K,
24-Mar-09,7.07,7.26,8.06,6.92,1.51M,
25-Mar-09,7.3,7.09,8.24,7.09,346.83K,
26-Mar-09,6.61,7.38,7.38,6.52,176.98K,
27-Mar-09,6.91,6.68,7,6.68,247.53K,
30-Mar-09,6.46,6.51,6.82,6.36,95.08K,
31-Mar-09,6.79,6.37,6.99,6.2,225.17K,
1-Apr-09,7.01,6.66,7.37,6.66,64.85K,
2-Apr-09,7.45,7.02,7.58,7.02,251.22K,
6-Apr-09,7.42,7.43,7.58,7.38,43.72K,
8-Apr-09,7.92,6.96,8.05,6.96,90.23K,
9-Apr-09,7.77,7.97,8.01,7.52,45.32K,
13-Apr-09,7.84,8.21,8.21,7.77,97.76K,
