Date,Price,Open,High,Low,Volume,
2-Jan-09,323.61,331.26,331.46,320.9,8.46M,
5-Jan-09,314.77,326.07,327.79,310.92,11.97M,
6-Jan-09,301.62,321.09,321.09,298.98,17.22M,
7-Jan-09,298.41,305.71,307.08,280.96,16.50M,
9-Jan-09,293.31,296.57,300.24,278.97,16.00M,
12-Jan-09,286.4,290.28,292.58,279.2,8.96M,
13-Jan-09,278.69,284.66,288.77,272.63,10.69M,
14-Jan-09,285.9,284.5,291.52,280.04,8.26M,
15-Jan-09,277.13,282.34,282.34,268.11,9.31M,
16-Jan-09,291.41,283.17,293.36,279.13,6.89M,
19-Jan-09,296.96,291.06,300.15,289.23,4.45M,
20-Jan-09,282.96,292.44,292.44,280.04,6.61M,
21-Jan-09,267.67,254.04,279.45,254.04,10.93M,
22-Jan-09,284.27,268.57,286.33,266.27,17.78M,
23-Jan-09,281.49,282.34,286.93,276.95,7.06M,
27-Jan-09,297.21,282.64,298.36,282.11,10.09M,
28-Jan-09,299.4,299.14,303,291.61,11.45M,
29-Jan-09,288.03,305.29,305.29,284.77,13.76M,
30-Jan-09,291.04,284.64,291.98,281.05,7.06M,
2-Feb-09,282.71,289.09,289.09,278.69,7.29M,
3-Feb-09,286.93,286.01,292.42,281.79,5.77M,
4-Feb-09,291.2,290.63,293.82,287.48,6.46M,
5-Feb-09,288.61,296.57,296.57,283.72,4.94M,
6-Feb-09,297.05,291.52,298.13,290.19,4.52M,
9-Feb-09,305.64,297.9,307.13,293.45,4.01M,
10-Feb-09,304.63,304.28,306.21,297.54,6.15M,
11-Feb-09,309.17,298.48,311.72,296.11,4.90M,
12-Feb-09,298.8,307.59,309.66,296.11,6.29M,
13-Feb-09,299.21,302.45,305.29,295.45,7.25M,
16-Feb-09,292.78,299.21,299.21,288.35,7.19M,
17-Feb-09,290.44,288.31,292.53,286.47,9.63M,
18-Feb-09,294.21,288.31,299.19,287.62,5.73M,
19-Feb-09,297.7,292.53,298.91,292.1,5.03M,
20-Feb-09,295.06,289.69,299.07,289.69,4.18M,
24-Feb-09,292.28,289.69,294.74,287.85,3.95M,
25-Feb-09,294.16,294.74,303,292.14,7.64M,
