Date,Price,Open,High,Low,Volume,
2-Jan-09,101.34,101.77,102.97,100.1,10.47M,
5-Jan-09,104.18,102.77,104.72,102.58,10.06M,
6-Jan-09,109.8,104.18,111.05,103.17,18.29M,
7-Jan-09,100.7,111.25,112.28,99.38,37.78M,
9-Jan-09,101.52,99.78,105.47,97.28,21.41M,
12-Jan-09,100.15,100.98,101.97,98.78,18.06M,
13-Jan-09,98.67,99.78,100.98,97.29,12.53M,
14-Jan-09,97.54,104.24,104.24,96.48,28.33M,
15-Jan-09,92.27,95.79,95.79,90.5,29.25M,
16-Jan-09,93.55,93.59,94.25,92.02,7.81M,
19-Jan-09,93.9,94.69,95.24,92.94,10.15M,
20-Jan-09,91.04,92.29,92.29,90,8.01M,
21-Jan-09,88.75,90.48,90.48,87.8,19.76M,
22-Jan-09,89.85,89.8,91.5,88,16.30M,
23-Jan-09,87.05,89.06,90.93,86.32,15.93M,
27-Jan-09,88.75,89.5,90.19,87.8,12.27M,
28-Jan-09,90.97,89.6,91.38,89.34,13.17M,
29-Jan-09,92.14,92.28,93.55,90.8,23.44M,
30-Jan-09,92.35,89.04,93.29,89.04,7.48M,
2-Feb-09,88.67,91.8,91.85,87.51,13.08M,
3-Feb-09,89.62,89.34,90.78,88.8,11.48M,
4-Feb-09,88.39,90.8,92.05,88.02,37.99M,
5-Feb-09,88.23,89.3,89.77,87.81,10.77M,
6-Feb-09,89.64,89.1,90.28,88.44,11.71M,
9-Feb-09,91.74,90.6,92,90.1,10.29M,
10-Feb-09,94.49,92.32,95.6,91.93,8.32M,
11-Feb-09,93.24,92.49,94.09,90.5,9.32M,
12-Feb-09,93.18,93.31,93.89,92.25,7.14M,
13-Feb-09,94.21,93.79,95.18,93.49,7.61M,
16-Feb-09,91.19,93.79,93.79,90.6,14.00M,
17-Feb-09,87.83,90.5,91.24,86.83,17.18M,
18-Feb-09,87.45,87.31,88.6,86.3,7.83M,
19-Feb-09,88.26,88.2,89.02,87.24,8.96M,
20-Feb-09,86.46,87.41,87.69,85.17,10.00M,
24-Feb-09,85.26,85.11,85.81,83.31,7.69M,
25-Feb-09,86.24,86.3,86.94,85.83,10.93M,
26-Feb-09,87.29,86.44,88.09,83.91,32.44M,
27-Feb-09,88.75,86.91,89.59,84.11,13.55M,
2-Mar-09,84.38,87.12,87.5,83.56,18.57M,
3-Mar-09,82.97,83.51,84.13,81.82,16.71M,
4-Mar-09,83.71,82.92,84.81,82.82,17.12M,
5-Mar-09,79.96,84.78,85.26,78.94,24.22M,
6-Mar-09,80,79.82,82.61,77.23,23.71M,
9-Mar-09,79.7,79.72,81.29,78.05,17.59M,
12-Mar-09,79.69,81.32,83.21,78.94,28.71M,
13-Mar-09,83.24,81.32,83.49,81.04,45.73M,
16-Mar-09,84.3,83.81,85.07,82.48,27.26M,
17-Mar-09,82.63,84.21,85.71,80.73,20.92M,
18-Mar-09,84.11,83.8,85.81,83.04,18.91M,
19-Mar-09,83.06,84.68,86.11,81.72,24.43M,
20-Mar-09,83.74,82.8,83.98,80.92,20.29M,
23-Mar-09,88.3,85.2,89.78,84.01,20.45M,
24-Mar-09,93.96,91.42,97.18,90.8,37.70M,
25-Mar-09,97,94.58,97.47,93.49,17.91M,
26-Mar-09,99.12,98.58,100.28,97.3,23.16M,
27-Mar-09,99.92,97.88,101.08,97.87,22.88M,
30-Mar-09,94.34,97.78,97.78,93.86,13.25M,
31-Mar-09,97.12,94.99,98.57,90.24,37.20M,
1-Apr-09,99.78,98.28,100.28,94.95,12.95M,
2-Apr-09,103.42,100.88,104.96,100.88,17.80M,
6-Apr-09,106.18,105.27,107.26,103.79,13.47M,
8-Apr-09,104.44,106.26,106.26,99.01,26.51M,
9-Apr-09,104.21,106.14,107.76,102.98,14.89M,
13-Apr-09,109.59,103.77,111.25,103.77,17.11M,
15-Apr-09,108.03,105.25,110.22,104.02,31.34M,
16-Apr-09,106.37,109.64,110.53,105.49,19.52M,
17-Apr-09,106.95,108.16,109.56,105.42,23.52M,
20-Apr-09,106.47,106.76,109.76,104.59,11.47M,
21-Apr-09,108.47,103.77,109.76,103.25,15.05M,
22-Apr-09,108.69,108.76,109.99,106.26,12.09M,
23-Apr-09,109.01,109.26,109.76,106.31,14.41M,
24-Apr-09,110.78,109.76,112.04,107.46,18.66M,
27-Apr-09,111.29,109.76,113.74,108.76,14.39M,
28-Apr-09,106.95,111.58,112.45,106.06,14.80M,
29-Apr-09,109.79,108.36,110.75,106.96,21.43M,
4-May-09,119.67,114.75,120.43,111.78,22.63M,
5-May-09,119.06,120.41,120.73,116.24,15.23M,
6-May-09,116.93,118.75,119.63,115.84,12.14M,
7-May-09,117.37,117.74,118.54,116.41,7.73M,
8-May-09,114.15,115.74,117.24,111.21,22.57M,
11-May-09,114.45,118.51,118.51,113.55,16.92M,
12-May-09,119.26,114.15,120.13,113.67,17.30M,
13-May-09,116.17,119.23,119.61,114.45,23.76M,
14-May-09,116.11,114.97,116.64,111.88,9.60M,
15-May-09,118.23,117.24,118.94,115.46,20.76M,
18-May-09,137.5,125.83,153.63,125.83,135.75K,
19-May-09,140.87,138.89,149.57,120.36,49.65M,
20-May-09,137.75,139.39,140.79,134.8,14.52M,
21-May-09,136.8,137.13,140.19,133.12,19.09M,
22-May-09,136.68,135.6,139.08,133.82,9.14M,
25-May-09,136.06,137.19,138.68,134.34,8.38M,
26-May-09,133.3,136.55,138.89,132.21,12.48M,
27-May-09,140.6,136.71,141.58,136.42,26.97M,
28-May-09,143.68,139.79,145.05,138.09,35.15M,
29-May-09,144.13,144.14,145.67,141.78,15.36M,
1-Jun-09,143.05,145.08,148.07,141.36,11.11M,
2-Jun-09,139.47,143.13,144.68,137.59,9.79M,
3-Jun-09,136.77,141.68,142.48,134.49,14.33M,
4-Jun-09,138.57,135.8,139.66,134.9,12.13M,
5-Jun-09,141.54,139.58,142.78,138.21,10.11M,
8-Jun-09,139.69,141.68,142.18,138.19,7.85M,
9-Jun-09,141.71,138.68,142.68,137.51,6.45M,
10-Jun-09,149.79,143.71,154.56,143.18,16.24M,
11-Jun-09,155.3,152.16,156.65,149.8,18.14M,
12-Jun-09,152.48,156.3,157.55,151.26,11.74M,
15-Jun-09,152.96,152.03,155.7,149.87,9.21M,
16-Jun-09,154.28,150.47,154.66,148.32,13.73M,
17-Jun-09,154.13,153.66,158.05,151.66,17.86M,
18-Jun-09,152.15,152.66,156.12,150.34,15.67M,
19-Jun-09,155.54,153.17,156.54,152.16,8.92M,
22-Jun-09,153.97,157.52,157.52,152.08,10.22M,
23-Jun-09,148.22,151.13,151.13,145.31,14.71M,
24-Jun-09,145.45,153.32,153.32,144.8,11.89M,
25-Jun-09,146.12,149.64,149.64,145.28,19.89M,
26-Jun-09,149.5,147.67,149.79,146.77,18.39M,
29-Jun-09,150.45,150.17,152.95,148.87,18.10M,
30-Jun-09,148.98,152.06,152.16,147.6,10.29M,
1-Jul-09,149.92,149.47,151.46,147.99,5.93M,
2-Jul-09,149.72,150.56,150.56,146.2,6.79M,
3-Jul-09,151.24,148.66,152.16,147.97,9.81M,
6-Jul-09,142.08,152.16,154.46,139.69,15.25M,
7-Jul-09,142.41,143.68,144.65,140.19,10.34M,
8-Jul-09,137.22,141.16,141.19,135.72,10.81M,
9-Jul-09,139.68,137.29,140.59,136.2,5.85M,
10-Jul-09,137.58,140.19,141.17,135.73,10.73M,
13-Jul-09,137.07,136.7,137.88,134.7,7.64M,
14-Jul-09,135.95,138.81,142.66,133.92,25.54M,
15-Jul-09,137.87,138.69,138.69,133.01,21.29M,
16-Jul-09,138.74,139.69,140.39,135.9,14.42M,
17-Jul-09,143.35,138.69,144.56,137.1,12.49M,
20-Jul-09,147.05,144.78,148.27,141.71,11.26M,
21-Jul-09,145.77,146.37,147.63,144.84,8.39M,
22-Jul-09,144.19,146.67,147.04,142.98,14.93M,
23-Jul-09,145.58,145.64,146.7,143.15,12.94M,
24-Jul-09,144.67,145.68,146.47,142.58,11.06M,
27-Jul-09,143.02,145.38,146.67,142.18,9.85M,
28-Jul-09,142.13,144.08,144.18,139.39,16.50M,
29-Jul-09,141.55,143.45,143.45,138.19,9.95M,
30-Jul-09,146.11,141.55,146.87,139.59,18.62M,
31-Jul-09,149.58,147.69,150.61,147.1,12.90M,
3-Aug-09,149.01,149.67,150.56,145.69,5.46M,
4-Aug-09,146.58,150.17,150.44,145.32,9.72M,
5-Aug-09,144.46,147.54,147.54,143.06,10.90M,
6-Aug-09,141.05,143.68,145.18,139.89,16.65M,
7-Aug-09,138.71,140.69,142.28,137.59,14.24M,
10-Aug-09,137.23,141.09,141.2,135.7,13.84M,
11-Aug-09,137.61,137.19,138.48,135.7,10.14M,
12-Aug-09,140.31,136.2,140.89,135.2,9.20M,
13-Aug-09,142.14,143.17,143.17,140.21,10.27M,
14-Aug-09,142.41,144.58,144.58,140.79,6.13M,
17-Aug-09,140.31,140.59,141.76,139.19,13.49M,
18-Aug-09,143.77,139.79,145.17,139.79,12.64M,
19-Aug-09,144.65,143.77,145.65,140.79,11.00M,
20-Aug-09,147.68,145.58,148.67,145.18,7.24M,
21-Aug-09,146.27,147.57,148.17,144.21,10.42M,
24-Aug-09,148.14,149.47,149.85,146.37,6.37M,
25-Aug-09,148.36,146.52,149.57,145.73,4.77M,
26-Aug-09,145.74,149.47,151.53,144.68,6.55M,
27-Aug-09,145.38,144.68,145.88,144.08,7.42M,
28-Aug-09,145.45,145.18,146.17,143.18,4.59M,
31-Aug-09,146.77,143.18,147.98,143.18,6.60M,
1-Sep-09,144.29,147.68,148.35,142.46,6.16M,
2-Sep-09,143.56,142.89,144.86,142.22,3.17M,
3-Sep-09,143.22,144.18,144.48,142.18,5.03M,
4-Sep-09,145.1,143.18,145.68,142.18,5.33M,
