Date,Price,Open,High,Low,Volume,
2-Jan-09,247.5,251,252.75,246.55,1.42M,
5-Jan-09,243,248,249.65,238.5,4.58M,
6-Jan-09,246.9,244,248.6,241,2.44M,
7-Jan-09,251.15,250,253,240.7,2.73M,
9-Jan-09,263.4,249,270,247,4.87M,
12-Jan-09,263.85,262.6,267.75,257,4.89M,
13-Jan-09,254.55,261.5,263.85,254,4.56M,
14-Jan-09,254,255.5,257,252.6,1.94M,
15-Jan-09,247,252.2,252.2,244.15,1.96M,
16-Jan-09,250.8,246.35,252.5,246.35,1.05M,
19-Jan-09,254.2,245.8,254.95,245.8,1.41M,
20-Jan-09,246.05,247.25,253.5,245.1,2.85M,
21-Jan-09,255.1,240,257.85,240,2.87M,
22-Jan-09,253.25,254.9,257.5,251.1,2.60M,
23-Jan-09,246.8,254,254,244.7,2.68M,
27-Jan-09,253.35,250,257.5,243.5,3.88M,
28-Jan-09,259.05,254,260.5,253,2.29M,
29-Jan-09,257.05,259.95,262.35,254.5,4.73M,
30-Jan-09,261.65,256.25,263,254,1.70M,
2-Feb-09,261.9,259,263.7,255.25,3.24M,
3-Feb-09,266.1,260.05,268.5,259,3.66M,
4-Feb-09,267.9,266.55,268.5,263.7,2.99M,
5-Feb-09,263.4,260,271.9,260,3.60M,
6-Feb-09,260.6,268,269.85,260,3.83M,
9-Feb-09,260.15,260,263.3,258.35,4.81M,
10-Feb-09,258.95,260.5,261.95,255.35,2.13M,
11-Feb-09,259.2,258.5,260,255.55,1.89M,
12-Feb-09,258.7,259,260,256.55,953.17K,
13-Feb-09,259.25,260.4,261.45,258.2,1.13M,
16-Feb-09,256.25,252.25,260,252.25,923.67K,
17-Feb-09,252.45,255.75,255.75,251.1,1.65M,
18-Feb-09,253.45,251.95,254.7,245.7,3.54M,
19-Feb-09,249.3,253.45,254.5,247.1,3.54M,
20-Feb-09,249.25,249,251.25,245.9,1.11M,
24-Feb-09,252.9,248.75,254.1,247.45,1.71M,
25-Feb-09,251.55,253.1,254.5,250.35,1.33M,
26-Feb-09,253.7,251,255.85,248.6,3.97M,
27-Feb-09,253.5,255,255,248.35,3.44M,
2-Mar-09,244.8,248.1,253.1,243.6,3.87M,
3-Mar-09,241.65,243,245.9,240.25,2.50M,
4-Mar-09,240.85,242.25,244.95,239.5,2.11M,
5-Mar-09,230.15,242.25,242.5,217,8.56M,
6-Mar-09,223.95,230,230.15,220.75,5.54M,
9-Mar-09,216.25,222,225,210.85,8.07M,
12-Mar-09,225.65,218,231.45,218,6.89M,
13-Mar-09,229.4,227,230.95,225.7,5.46M,
16-Mar-09,235.45,230,238,229.25,1.60M,
17-Mar-09,233.4,235,239.7,229.55,2.73M,
18-Mar-09,232.3,234,236,230.5,1.67M,
19-Mar-09,230.3,232.9,232.9,225.5,3.00M,
20-Mar-09,233.3,229,234.05,227.7,1.54M,
23-Mar-09,238.6,233.05,240,233.05,1.55M,
24-Mar-09,239.25,240,240.5,235.1,4.96M,
25-Mar-09,234.65,235,241.75,233.45,3.76M,
26-Mar-09,239.75,235.25,241,235.05,4.16M,
27-Mar-09,240,239.95,240.5,235.6,4.36M,
30-Mar-09,239.75,238,244.85,237,2.58M,
31-Mar-09,237.5,235.25,241.4,235.25,5.32M,
1-Apr-09,236.45,235,240.85,228.35,8.07M,
2-Apr-09,231,235.1,242.7,230.1,6.27M,
6-Apr-09,227.4,234.9,235,224.75,12.11M,
8-Apr-09,241.3,225.2,243.75,224,8.05M,
9-Apr-09,233,242.9,242.9,230.85,5.92M,
13-Apr-09,230,235.05,235.95,226.6,4.59M,
15-Apr-09,235.45,230,236.9,229.3,6.01M,
16-Apr-09,239.15,235.45,241,234,7.87M,
17-Apr-09,239.1,241,242.1,236.35,2.44M,
20-Apr-09,238,240,240.15,234.6,4.07M,
21-Apr-09,242.9,237.65,244.9,236.15,4.59M,
22-Apr-09,240.6,243.1,244.8,238.6,3.77M,
23-Apr-09,240.25,240.6,245.45,239.75,3.22M,
24-Apr-09,238.3,241,241.5,237.35,1.64M,
27-Apr-09,230.8,239,239,230.2,4.47M,
28-Apr-09,225.3,230.55,232,224.65,4.41M,
29-Apr-09,234.75,226,236,222.25,7.19M,
4-May-09,239.9,236,242,233.1,4.90M,
5-May-09,238.35,240,241.5,235.5,2.81M,
6-May-09,234.6,239.9,240.85,232.2,5.17M,
7-May-09,230.65,234.5,238,229.35,5.08M,
8-May-09,233.05,230.75,234.15,230,5.44M,
11-May-09,227.15,235.25,236.5,226,7.03M,
12-May-09,225.1,227.6,227.85,221.8,8.21M,
13-May-09,221.95,225.1,227.2,221.1,3.15M,
14-May-09,224.85,222,225.65,218.1,7.49M,
15-May-09,224.3,226,227.4,223.65,2.45M,
18-May-09,239.6,244.95,264.4,228,51.52K,
19-May-09,229.5,245,251,224,13.67M,
20-May-09,233.45,234.9,235.85,225,10.14M,
21-May-09,230.4,233.2,235,226.55,2.72M,
22-May-09,232,231,234.3,228.1,2.39M,
25-May-09,233.05,231,235.5,229.9,3.42M,
26-May-09,231,238.7,238.7,229.5,3.48M,
27-May-09,230.15,233.3,233.3,228.1,3.31M,
28-May-09,231,232,233.5,228.5,5.38M,
29-May-09,230.8,232,233.9,229.55,4.63M,
1-Jun-09,232.65,228.55,233.45,228.55,2.70M,
2-Jun-09,233.75,233.1,235.15,232.55,3.42M,
3-Jun-09,239.7,235,241,233.45,4.99M,
4-Jun-09,249.5,236.5,251,236.5,4.64M,
5-Jun-09,252,250.25,257.7,246.2,4.50M,
8-Jun-09,252.25,252,253.5,245.35,2.85M,
9-Jun-09,256.75,252,259,248.25,2.93M,
10-Jun-09,264.35,257,269.9,256,6.28M,
11-Jun-09,259.95,264,264.9,258.5,3.59M,
12-Jun-09,255.75,257,258.5,252,4.79M,
15-Jun-09,259.15,257.9,262.85,252.15,4.90M,
16-Jun-09,263.45,258,265.75,257.7,2.20M,
17-Jun-09,261.6,267,267,256.4,2.99M,
18-Jun-09,259.75,261.25,265.5,257.6,2.84M,
19-Jun-09,260.75,260.5,263,259.05,1.91M,
22-Jun-09,259.25,260.55,263.5,252.4,5.79M,
23-Jun-09,260.05,259.25,262,255.7,3.89M,
24-Jun-09,262.95,261,264.35,258,2.01M,
25-Jun-09,258.95,262.05,265.4,257,6.80M,
26-Jun-09,266.05,259.65,268,257.6,3.31M,
29-Jun-09,266.6,266,269.7,262.25,2.88M,
30-Jun-09,267.5,265,271.45,264.65,4.22M,
1-Jul-09,272.85,266.15,275.95,266.15,2.62M,
2-Jul-09,270.1,273.05,274.1,266.9,3.76M,
3-Jul-09,273.15,271.9,274.45,267.5,1.56M,
6-Jul-09,274.9,273.5,282.8,268.1,5.26M,
7-Jul-09,273.45,277,292.5,272.15,6.11M,
8-Jul-09,270.3,273,276.45,268.2,2.90M,
9-Jul-09,265.75,268.8,274.6,265.05,1.76M,
10-Jul-09,267.35,266.3,273.2,265.2,2.94M,
13-Jul-09,263.85,266.5,266.5,260.3,1.54M,
14-Jul-09,269.45,266,270.5,261.55,1.58M,
15-Jul-09,270.55,269.55,273,263.8,1.97M,
16-Jul-09,266.2,269.85,273.5,265.15,1.72M,
17-Jul-09,266.75,268.45,269.35,264.65,3.50M,
20-Jul-09,267,267.3,269.9,264.1,2.72M,
21-Jul-09,269.7,266.8,270.7,266,2.22M,
22-Jul-09,269.3,271.1,273.8,267.65,3.01M,
23-Jul-09,276.75,269.5,279,268.35,6.47M,
24-Jul-09,282.65,278.5,288.65,273.4,2.59M,
27-Jul-09,299.65,284,306.7,284,11.35M,
28-Jul-09,276.65,302,305.95,273.25,14.58M,
29-Jul-09,268.35,278,283.65,266,8.48M,
30-Jul-09,281.4,270,284.9,267.65,5.85M,
31-Jul-09,291.5,283,296,281.15,5.35M,
3-Aug-09,285.1,291,292.7,282.6,1.53M,
