Date,Price,Open,High,Low,Volume,
2-Jan-09,85.68,84.55,87.24,84.05,35.55M,
5-Jan-09,90.89,86.45,91.64,86.21,47.22M,
6-Jan-09,95.17,87.27,96.49,87.27,77.63M,
7-Jan-09,85.06,96,97.93,82.55,105.54M,
9-Jan-09,83.02,83.4,87.82,80.18,69.63M,
12-Jan-09,79.64,80,84.24,77.85,44.92M,
13-Jan-09,77.35,79.09,81.53,76.01,54.67M,
14-Jan-09,80.2,77.94,82,77.94,34.61M,
15-Jan-09,74.3,78,78,72.42,53.33M,
16-Jan-09,77.05,75.45,77.76,74.3,27.52M,
19-Jan-09,75.02,77.27,80.8,74.27,33.11M,
20-Jan-09,72.05,73.27,74.15,70.95,38.25M,
21-Jan-09,67.15,70.85,70.85,65.45,65.55M,
22-Jan-09,68.74,69.45,70.16,65.23,52.44M,
23-Jan-09,66.15,60.28,71.09,60.28,59.09M,
27-Jan-09,69.29,67.81,70.73,65.29,54.17M,
28-Jan-09,74.19,70.35,75,69.54,64.87M,
29-Jan-09,74.56,78.18,78.85,73.2,50.05M,
30-Jan-09,75.68,73.09,76.16,71.82,49.56M,
2-Feb-09,70.02,73.19,74.93,69.64,37.21M,
3-Feb-09,71.27,70.91,73.58,69.65,39.34M,
4-Feb-09,70.85,71.82,73.68,70.24,34.42M,
5-Feb-09,71.01,70.93,72.1,70.01,27.86M,
6-Feb-09,74.02,72.55,74.34,72,31.58M,
9-Feb-09,77.88,73.88,78.15,73.88,37.36M,
10-Feb-09,77.95,77.82,80.36,76.4,42.54M,
11-Feb-09,79.13,76.38,79.62,72.84,42.22M,
12-Feb-09,76.62,78.85,78.98,75.76,37.60M,
13-Feb-09,78.98,76.92,79.71,76.92,35.46M,
16-Feb-09,74.36,78.82,79.98,73.81,38.00M,
17-Feb-09,70.13,79.78,79.78,69.13,61.76M,
18-Feb-09,67.18,69.64,69.96,66.36,72.90M,
19-Feb-09,65.73,66.73,69.04,65.32,64.10M,
20-Feb-09,61.06,64.73,65.21,60.18,69.46M,
24-Feb-09,61.08,59.09,62.16,57.89,85.53M,
25-Feb-09,61.93,62,63.62,61.53,59.64M,
26-Feb-09,59.06,60.42,62.44,57.93,94.80M,
27-Feb-09,59.55,58.91,60.73,56.55,98.28M,
2-Mar-09,55.35,59.04,59.04,54.55,66.24M,
3-Mar-09,53.75,53.64,56.95,53.33,134.33M,
4-Mar-09,51.8,54.18,55.05,50.93,139.10M,
5-Mar-09,49.1,52.18,53.59,48.38,143.67M,
6-Mar-09,48.94,47.95,51.8,45.87,277.25M,
9-Mar-09,47.81,48.88,49.53,46.91,107.03M,
12-Mar-09,51.66,49.89,52.44,49.14,150.54M,
13-Mar-09,56.12,53.82,56.86,53.09,143.49M,
16-Mar-09,58.69,56.63,59.09,55.83,122.10M,
17-Mar-09,58.8,59,61.33,57.1,175.13M,
18-Mar-09,60.85,59.81,62.18,59.45,90.87M,
19-Mar-09,61.44,60.97,63,59.32,118.94M,
20-Mar-09,58.74,60.4,61.18,58.37,81.42M,
23-Mar-09,63.05,59.82,63.62,59.35,95.38M,
24-Mar-09,64.63,64.35,67.96,63.86,125.11M,
25-Mar-09,66.46,65.45,67.25,63.48,116.14M,
26-Mar-09,68.19,68,68.55,66.31,102.41M,
27-Mar-09,70.04,68.56,70.51,68.06,81.75M,
30-Mar-09,61.47,68.53,68.55,60.84,121.52M,
31-Mar-09,60.51,61.91,62.96,57.15,188.79M,
1-Apr-09,63.52,63.58,64.35,58.85,123.02M,
2-Apr-09,65.58,65.45,68.85,64.77,129.39M,
6-Apr-09,68.15,67.82,69.22,65.97,120.94M,
8-Apr-09,68.44,65.54,69.02,63.03,102.26M,
9-Apr-09,72.33,69.82,73.09,67.49,139.57M,
13-Apr-09,75.75,73.64,76.64,73.64,64.94M,
15-Apr-09,80.53,74.55,83.09,67.55,103.48M,
16-Apr-09,77.74,85.38,85.38,76.75,117.06M,
17-Apr-09,80.15,79.09,83.09,78.55,91.70M,
20-Apr-09,77.57,79.86,82.91,77.01,90.84M,
21-Apr-09,72.5,74.83,75.7,71.15,111.93M,
22-Apr-09,72.74,72.55,75.09,71.02,73.17M,
23-Apr-09,77.16,72.36,78.47,71.84,75.50M,
24-Apr-09,78.93,76.36,79.89,75.47,79.77M,
27-Apr-09,85.01,77.27,86.9,74.75,147.30M,
28-Apr-09,79.85,85.09,85.45,78.74,95.55M,
29-Apr-09,87.13,80.73,88.09,80.73,102.61M,
4-May-09,96.35,89.11,97.05,89.09,102.28M,
5-May-09,103.47,96.36,104.36,96.36,127.39M,
6-May-09,98.11,103.64,104.55,96.82,136.63M,
7-May-09,99.87,99.09,101.34,97.85,70.68M,
8-May-09,94.68,100,100.16,93.66,79.67M,
11-May-09,95.15,96.77,99.59,93.27,79.69M,
12-May-09,101.47,94.36,102.46,94.02,79.99M,
13-May-09,100.21,103.27,104.49,98.47,89.70M,
14-May-09,97.5,98.18,98.18,94.36,69.12M,
15-May-09,104.49,99.24,105.27,98.55,73.34M,
18-May-09,128.56,123.6,134.55,120.18,354.38K,
19-May-09,137.48,133.09,145.45,123.45,164.92M,
20-May-09,128.89,135.64,135.64,126.65,78.26M,
21-May-09,122.37,126.73,129.03,121.33,72.71M,
22-May-09,127.75,120.91,129.75,118.36,82.92M,
25-May-09,128.12,129.04,130.45,126.48,44.96M,
26-May-09,121.09,128.17,129.09,119.67,51.31M,
27-May-09,129.14,123.81,129.89,123.81,43.29M,
28-May-09,132.78,129.98,134.53,127.31,75.59M,
29-May-09,134.57,133.44,137.25,132.91,44.99M,
1-Jun-09,131.37,137.95,138.31,128.85,53.35M,
2-Jun-09,133.15,132.73,136.35,127.96,62.03M,
3-Jun-09,130.81,135.45,135.94,128.82,47.04M,
4-Jun-09,133.36,129.84,134.31,126.09,60.59M,
5-Jun-09,137.23,134.64,138.99,134.64,55.47M,
8-Jun-09,131.75,140.73,140.73,130.56,31.80M,
9-Jun-09,134.15,130.91,136.14,128.22,56.35M,
10-Jun-09,135.95,135.82,138.51,133.82,67.72M,
11-Jun-09,136.42,136.3,138.16,133.22,35.07M,
12-Jun-09,134.99,140,141.75,134.18,40.02M,
15-Jun-09,133.59,132.73,136.73,131.36,27.24M,
16-Jun-09,133.53,129.53,134.45,129.53,45.36M,
17-Jun-09,131.35,132.73,136.27,130,41.30M,
18-Jun-09,127.86,129.2,133.53,126.06,45.58M,
19-Jun-09,129.83,127.57,131.64,124,59.28M,
22-Jun-09,132.91,130.96,136.36,130.36,44.85M,
23-Jun-09,126.76,127.82,129.82,124.09,68.33M,
24-Jun-09,125.35,127.64,128.15,122.74,53.09M,
25-Jun-09,127.27,126.31,129.93,125.73,56.12M,
26-Jun-09,137.48,129.42,138.18,128.64,57.80M,
29-Jun-09,136.13,139.04,140.49,134.68,45.49M,
30-Jun-09,131.31,136.36,137.07,130.09,38.13M,
1-Jul-09,132.7,130.91,134.35,127.87,45.81M,
2-Jul-09,133.36,133.98,135.43,130.73,36.29M,
3-Jul-09,137.26,131,138.18,130.23,37.75M,
6-Jul-09,123.58,138.18,141.27,120.91,79.02M,
7-Jul-09,126.34,125.45,129.64,124.55,64.42M,
8-Jul-09,118.75,125.09,125.24,116.77,57.44M,
9-Jul-09,115.53,121.82,121.82,112.75,62.49M,
10-Jul-09,114.34,115.64,119.53,112.62,44.43M,
13-Jul-09,115.08,112.73,117.09,110.21,41.12M,
14-Jul-09,123.55,117.3,124.55,117.3,41.59M,
15-Jul-09,126.62,125.45,128.71,121.65,52.60M,
16-Jul-09,126.15,129.29,130.89,125.13,38.86M,
17-Jul-09,135.06,127.47,136.09,127.47,55.32M,
20-Jul-09,142.68,137.09,144.45,134.37,55.45M,
21-Jul-09,140.49,144.53,144.55,139.49,47.12M,
22-Jul-09,138.1,140.36,146.85,136.78,63.07M,
23-Jul-09,141.05,140.1,143.45,137.91,55.35M,
24-Jul-09,139.55,142.33,144.49,138.18,57.61M,
27-Jul-09,137.8,140.48,142.18,135.73,61.96M,
28-Jul-09,134.61,138.13,138.18,133.09,57.01M,
29-Jul-09,133.23,134.55,135.4,130.46,44.17M,
30-Jul-09,137.67,132.2,138.85,131.27,46.91M,
31-Jul-09,137.91,140.73,141.25,136.55,35.80M,
3-Aug-09,140.68,138.9,140.92,136.04,27.99M,
4-Aug-09,138.83,140.36,142.82,137,48.73M,
5-Aug-09,140.62,139.99,141.45,137.82,36.68M,
6-Aug-09,139.3,140,146.16,137.27,76.53M,
7-Aug-09,134.2,138.73,139.05,133.27,39.10M,
10-Aug-09,130.67,135.57,137.9,129.64,51.78M,
11-Aug-09,130.38,133.54,133.54,127.75,38.19M,
12-Aug-09,129.12,129.09,129.82,125.49,38.13M,
13-Aug-09,137.67,131.64,138.16,131.64,35.11M,
14-Aug-09,135.43,139.09,139.09,134.21,24.99M,
17-Aug-09,128.17,133.4,133.82,127.65,30.47M,
18-Aug-09,130.92,129.12,132.36,126.79,34.22M,
19-Aug-09,130.28,131.45,131.82,127.35,37.53M,
20-Aug-09,130.83,131.8,133.6,129.85,20.60M,
21-Aug-09,135.53,130.89,136.23,128.54,47.25M,
24-Aug-09,139.63,136.36,140.71,136.36,30.54M,
25-Aug-09,138.04,138.39,139.45,136.43,28.63M,
26-Aug-09,138.53,138.18,139.71,136.82,23.27M,
27-Aug-09,136.46,137.27,138.18,135.79,28.30M,
28-Aug-09,138.84,136.34,140.14,136.34,26.28M,
31-Aug-09,136.57,137.18,138.71,135.09,26.12M,
1-Sep-09,135.42,136.76,141.02,134.55,28.55M,
2-Sep-09,133.84,133.64,135.45,131.45,21.36M,
3-Sep-09,133.81,134.73,136.71,132.75,29.28M,
4-Sep-09,135.25,134.36,136.82,132.91,23.91M,
7-Sep-09,143.43,136.15,144.89,136.11,36.70M,
8-Sep-09,143.63,144.55,146.64,142.13,50.94M,
9-Sep-09,144.16,143.09,145.27,142.47,25.88M,
10-Sep-09,148.47,146.36,150.62,146.09,37.85M,
11-Sep-09,151.85,150.91,153.57,148.77,35.91M,
14-Sep-09,149.93,149.09,151.81,148.75,21.33M,
15-Sep-09,153.53,150.91,154,150.73,19.17M,
16-Sep-09,157.18,154.55,158.17,154.55,28.69M,
17-Sep-09,158.6,159.79,160.75,156.94,35.92M,
18-Sep-09,152.95,158.18,158.18,152.45,33.60M,
22-Sep-09,155,153.09,156.08,152.18,16.27M,
23-Sep-09,153.67,155.45,156.53,152.74,17.97M,
24-Sep-09,156.45,151.82,168.65,150.97,35.01M,
25-Sep-09,152.55,154.55,155.36,152.02,17.81M,
29-Sep-09,157.52,162.49,162.49,154.55,22.46M,
30-Sep-09,165.02,156.4,165.45,156.4,45.47M,
1-Oct-09,168.47,148.73,169.8,148.73,46.69M,
5-Oct-09,165.89,163.64,167.44,163.07,32.28M,
6-Oct-09,170.58,166.75,171.76,162.38,40.97M,
7-Oct-09,166.98,171.82,173.47,166.16,30.67M,
8-Oct-09,167.81,167.75,169.98,165.98,34.94M,
9-Oct-09,163.96,168,168.12,162.76,23.06M,
12-Oct-09,167.31,162.64,168.18,162.05,26.54M,
14-Oct-09,167.45,168.12,169.8,166.7,18.48M,
15-Oct-09,170.17,168.63,171.41,166.22,31.89M,
16-Oct-09,174.38,168.39,176.33,168.39,33.70M,
17-Oct-09,172.39,178.18,178.18,171.2,3.43M,
20-Oct-09,171.72,172.5,175.64,170.92,22.19M,
21-Oct-09,168.93,170.36,171.15,167.68,21.11M,
22-Oct-09,162.07,166.91,167.45,161.09,27.87M,
23-Oct-09,164.31,164.36,165.79,162.75,19.34M,
26-Oct-09,161.97,165.27,167.27,161.28,19.80M,
27-Oct-09,151.72,160.91,163.54,150.21,57.01M,
28-Oct-09,147.17,150.36,150.91,143.09,56.32M,
29-Oct-09,140.32,143.82,146.37,137.57,57.68M,
30-Oct-09,143.78,142.73,147.33,138.89,65.64M,
3-Nov-09,142.96,142.96,149.76,140.74,51.78M,
4-Nov-09,150.5,144.73,151.24,144.53,36.12M,
5-Nov-09,153.57,151.27,154.17,146.99,31.88M,
6-Nov-09,154.28,155.81,156.85,152.82,29.36M,
9-Nov-09,161.55,154.36,162.27,153.56,37.20M,
10-Nov-09,163.01,163.62,165.24,161.86,33.06M,
11-Nov-09,168.09,163.09,168.91,161.09,22.74M,
12-Nov-09,162.29,168.55,168.82,160.55,28.71M,
13-Nov-09,165.26,163.49,166.35,162.09,21.12M,
16-Nov-09,167.15,165.65,169.45,165.65,19.30M,
17-Nov-09,167.37,167.64,168.16,163.65,19.68M,
18-Nov-09,164.64,166.36,166.91,163.82,17.74M,
19-Nov-09,161.17,164.43,164.53,159.64,19.30M,
20-Nov-09,163.09,160,163.82,156,27.08M,
23-Nov-09,166.77,163.64,167.95,162.76,19.70M,
24-Nov-09,165.34,166.39,166.55,162.95,26.68M,
25-Nov-09,163.97,164.38,165.27,161.31,24.81M,
26-Nov-09,157.36,163,163.05,156.36,34.52M,
27-Nov-09,154.71,154.55,155.8,147.45,42.16M,
30-Nov-09,157.79,163.64,163.64,156.36,28.31M,
1-Dec-09,161.31,159.27,161.8,157.28,22.97M,
2-Dec-09,162.46,162.7,166.81,161.45,36.09M,
3-Dec-09,160.77,162.18,164.54,159.49,27.69M,
4-Dec-09,158.45,159.09,160.25,157.27,23.21M,
7-Dec-09,156.49,158.91,160.24,155.65,23.87M,
8-Dec-09,158.63,156.36,159.59,154.84,32.73M,
9-Dec-09,155.51,157.58,158.51,155.09,19.98M,
10-Dec-09,159.26,155.51,159.64,153.51,32.89M,
11-Dec-09,157.18,161.4,161.4,155.15,22.93M,
14-Dec-09,154.67,156.09,157.94,154.09,22.61M,
15-Dec-09,150.12,153.53,155.8,149.82,32.48M,
16-Dec-09,149.56,148.55,151.95,148.06,29.59M,
17-Dec-09,150.15,149.27,151.25,147.82,25.53M,
18-Dec-09,147.15,148.53,149.89,146.2,25.75M,
21-Dec-09,147.44,147.09,148.89,145.55,25.99M,
22-Dec-09,150.13,148.71,150.73,148.36,16.48M,
23-Dec-09,156.84,150.91,157.27,150.55,22.44M,
24-Dec-09,157.25,157.27,158.53,155.45,17.76M,
29-Dec-09,160.04,157.25,160.73,157.25,19.09M,
30-Dec-09,159.96,160,161.57,158.69,18.37M,
31-Dec-09,159.45,160.89,161.76,157.87,17.54M,
4-Jan-10,159.95,159.45,160.91,159.09,9.16M,
5-Jan-10,161.46,161.45,163.59,160.27,14.66M,
6-Jan-10,162.7,162.73,164.97,161.84,20.41M,
7-Jan-10,161.16,163.05,163.05,159.36,10.85M,
