Date,Price,Open,High,Low,Volume,
2-Jan-09,140.4,144.48,144.48,139.37,9.01M,
5-Jan-09,145.45,141.38,146.93,141.35,11.24M,
6-Jan-09,144.92,146.34,147.58,142.05,11.56M,
7-Jan-09,147.28,145.25,148.52,142.08,22.54M,
9-Jan-09,149.25,147.1,157.08,145.1,40.18M,
12-Jan-09,143.83,142.83,150.06,141.17,31.27M,
13-Jan-09,152.31,146.34,154.08,138.78,43.96M,
14-Jan-09,161.67,151.99,162.96,151.99,41.55M,
15-Jan-09,155.24,156.26,156.75,150.68,25.36M,
16-Jan-09,157.18,156.02,157.99,153.78,12.72M,
19-Jan-09,156.52,157.13,157.85,153.85,9.54M,
20-Jan-09,155.24,153.78,155.89,152.54,4.97M,
21-Jan-09,151.78,152.67,155.21,150.56,7.77M,
22-Jan-09,152.66,153.16,153.66,149.2,8.78M,
23-Jan-09,149.4,150.06,152.15,147.65,11.63M,
27-Jan-09,155.28,151.18,156.26,150.68,10.51M,
28-Jan-09,159.58,156.64,160.73,155.02,7.19M,
29-Jan-09,162.48,159.99,163.58,159.61,26.00M,
30-Jan-09,162.05,161.35,162.96,159.61,11.63M,
2-Feb-09,158.7,160.23,160.85,157.25,16.87M,
3-Feb-09,159.06,159.49,161.47,156.34,16.13M,
4-Feb-09,158.95,159.37,161.99,158.29,7.57M,
5-Feb-09,155.75,159.49,160.61,153.47,17.54M,
6-Feb-09,159.85,156.13,160.9,154.78,14.02M,
9-Feb-09,162.73,157.26,163.71,157.26,11.51M,
10-Feb-09,162.27,163.02,164.33,160.61,13.37M,
11-Feb-09,161.46,159.99,161.83,158.74,7.06M,
12-Feb-09,155.59,160.61,160.61,155.04,11.24M,
13-Feb-09,155.23,157.5,158.74,154.29,12.79M,
16-Feb-09,151.48,156.26,156.26,150.7,11.89M,
17-Feb-09,145.59,149.82,151.15,144.48,15.03M,
18-Feb-09,146.19,146.16,147.34,138.33,11.10M,
19-Feb-09,149.92,145.72,150.52,145.35,9.88M,
20-Feb-09,145.99,147.58,148.37,144.48,7.64M,
24-Feb-09,147.03,143.24,147.83,142.06,7.71M,
25-Feb-09,150.99,147.83,151.86,147.58,10.63M,
26-Feb-09,153.29,149.32,153.78,148.82,16.57M,
27-Feb-09,152.7,152.26,153.52,149.29,13.33M,
2-Mar-09,151.19,151.06,152.27,147.58,11.82M,
3-Mar-09,148.53,149.57,151.28,147.76,8.82M,
4-Mar-09,148.72,148.95,150.93,146.34,8.64M,
5-Mar-09,146.58,149.44,151.9,145.8,6.94M,
6-Mar-09,151.22,146.59,153.54,142.81,10.28M,
9-Mar-09,149.08,149.46,150.81,147.6,9.86M,
12-Mar-09,152.27,150.32,155.75,150.19,16.50M,
13-Mar-09,160.86,154.95,161.22,153.78,14.66M,
16-Mar-09,159.71,161.6,161.6,157.39,13.50M,
17-Mar-09,156.95,159.24,159.24,155.89,9.90M,
18-Mar-09,158.5,156.88,161.47,156.88,14.67M,
19-Mar-09,160.88,159.37,162.54,157.5,13.43M,
20-Mar-09,160.75,164.13,164.13,159.37,9.50M,
23-Mar-09,165.11,161.25,166.18,160.63,12.24M,
24-Mar-09,163.8,166.81,168.7,162.6,10.75M,
25-Mar-09,166.06,162.74,167.43,162.74,13.10M,
26-Mar-09,171.04,166.81,173.27,166.46,23.95M,
27-Mar-09,166.79,170.53,171.89,164.95,16.70M,
30-Mar-09,161.39,163.71,164.82,156.97,12.39M,
31-Mar-09,164.19,162.47,166.17,161.35,12.78M,
1-Apr-09,170.37,165.09,171.14,161.89,12.44M,
2-Apr-09,176.03,173.13,177.97,171.46,15.72M,
6-Apr-09,175.37,178.99,182.18,171.65,13.86M,
8-Apr-09,176.75,172.39,177.92,168.23,19.81M,
9-Apr-09,176.98,177.97,178.2,173.13,15.06M,
13-Apr-09,174.78,177.97,181.93,170.8,18.84M,
15-Apr-09,169.98,167.18,171.39,161.24,44.64M,
16-Apr-09,166.83,170.15,173.63,163.71,27.31M,
17-Apr-09,173.29,167.43,176.21,167.43,23.50M,
20-Apr-09,172.81,171.77,174.87,170.28,14.93M,
21-Apr-09,168.97,171.02,172.37,168.05,8.01M,
22-Apr-09,171.28,168.91,172.14,168.11,10.62M,
23-Apr-09,179.88,170.05,181.03,168.22,12.19M,
24-Apr-09,179.65,178.72,180.82,174.19,11.41M,
27-Apr-09,178.08,179.57,179.82,175.49,9.64M,
28-Apr-09,177.44,177.35,182.2,175.86,9.44M,
29-Apr-09,187.18,178.59,188.22,177.39,15.41M,
4-May-09,201.93,188.52,202.88,188.52,20.01M,
5-May-09,196.21,200.36,201.53,192.27,18.43M,
6-May-09,195.11,195.39,199.55,191.97,14.47M,
7-May-09,192.57,194.71,195.2,189.66,14.54M,
8-May-09,188.6,192.11,194.83,186.18,12.95M,
11-May-09,188.22,188.51,190.83,185.06,6.54M,
12-May-09,198.24,186.65,199.05,186.48,14.13M,
13-May-09,195.2,198.46,198.46,193.47,7.51M,
14-May-09,194.36,190.99,196.94,190.11,8.55M,
15-May-09,197.54,194.83,199.3,193.54,8.38M,
18-May-09,223.25,211.45,236.99,208.48,139.62K,
19-May-09,193.34,212.23,222.62,191.98,44.42M,
20-May-09,189.86,193.22,199.42,187.93,33.41M,
21-May-09,186.33,188.63,192.85,185.04,19.42M,
22-May-09,188.79,184.79,189.63,184.18,9.12M,
25-May-09,187.4,189.75,189.75,184.86,10.46M,
26-May-09,191.94,189.02,193.54,187.41,11.65M,
27-May-09,196.96,193.72,198.06,192.99,9.90M,
28-May-09,195.83,188.21,202.03,188.21,20.87M,
29-May-09,199.06,197.04,200.29,195.33,13.92M,
1-Jun-09,207.92,200.33,209.06,199.09,13.19M,
2-Jun-09,209.43,210.81,211.83,206.24,10.43M,
3-Jun-09,203.58,209.38,211.83,200.07,13.71M,
4-Jun-09,202.14,202.75,204.56,198.56,10.95M,
5-Jun-09,210.7,204.88,212.69,202.77,16.59M,
8-Jun-09,216.05,210.59,217.28,209.84,11.28M,
9-Jun-09,222.59,214.55,223.24,213.34,16.88M,
10-Jun-09,224.33,221.99,227.95,218.65,17.73M,
11-Jun-09,217.15,228.74,228.74,213.39,16.26M,
12-Jun-09,214.36,218.4,220.13,212.45,9.47M,
15-Jun-09,212.71,213.92,220.25,208.87,16.61M,
16-Jun-09,213.89,211.83,215.17,208.97,9.52M,
17-Jun-09,212.25,210.59,216.05,207.9,13.47M,
18-Jun-09,214.03,209.84,218.52,209.05,12.71M,
19-Jun-09,219.56,214.31,221.39,212.96,14.97M,
22-Jun-09,219.07,220.78,221.9,216.79,9.42M,
23-Jun-09,216.71,215.95,219.5,210.96,12.63M,
24-Jun-09,217.97,217.08,220.12,213.59,10.19M,
25-Jun-09,218.16,218.83,222.96,216.81,13.23M,
26-Jun-09,226.6,221.37,228.2,217.65,12.95M,
29-Jun-09,221.12,230.66,256.72,219.64,9.80M,
30-Jun-09,220.32,222.62,223.11,218.05,8.96M,
1-Jul-09,222.64,219.58,224.69,218.84,7.99M,
2-Jul-09,222.82,222.14,223.73,218.91,8.42M,
3-Jul-09,223.87,221.4,225.22,216.74,8.89M,
6-Jul-09,218.42,224.48,225.64,217.08,13.55M,
7-Jul-09,215.53,222.86,222.86,213.93,12.69M,
8-Jul-09,211.63,214.43,215.55,209.59,9.02M,
9-Jul-09,208.05,212.07,212.07,207.11,10.92M,
10-Jul-09,213.46,210.83,219.49,206.49,24.21M,
13-Jul-09,219.53,212.42,220.12,210.97,8.25M,
14-Jul-09,224.7,219.5,225.71,217.17,11.65M,
15-Jul-09,222.2,223.44,226.14,217.65,15.57M,
16-Jul-09,222.63,223.24,225.42,219.13,9.39M,
17-Jul-09,231.46,223.51,232.41,223.48,12.57M,
20-Jul-09,244.49,231.93,247.29,231.93,20.08M,
