Date,Price,Open,High,Low,Volume,
2-Jan-09,318.58,311.97,321.92,310.06,20.04M,
5-Jan-09,338.26,321.7,341.02,320.73,22.24M,
6-Jan-09,339.51,336.81,344.24,329.69,24.35M,
7-Jan-09,297.37,339.04,343.25,290.99,34.32M,
9-Jan-09,285.61,299.66,299.66,270.85,38.31M,
12-Jan-09,271.9,282.25,283.56,268.7,29.74M,
13-Jan-09,266.86,271.11,283.81,263.75,26.57M,
14-Jan-09,292.17,270.21,301.64,270.21,26.45M,
15-Jan-09,282.91,282.77,287.26,274.28,25.33M,
16-Jan-09,301.48,285.05,304.86,282.3,26.90M,
19-Jan-09,304.59,303.28,309.55,299.16,17.14M,
20-Jan-09,293.13,301.34,301.34,289.26,18.76M,
21-Jan-09,277.33,287.28,292.95,274.89,20.06M,
22-Jan-09,281.41,284.78,286,274.18,28.25M,
23-Jan-09,286.32,296.69,330.62,277.37,32.74M,
27-Jan-09,303.61,293.72,305.47,289.75,18.10M,
28-Jan-09,315.51,309.07,319.47,303.72,18.55M,
29-Jan-09,314.54,318.23,320.71,307.4,25.61M,
30-Jan-09,327.79,306.59,329.58,306.59,22.45M,
2-Feb-09,317,319.47,335.02,315.4,21.67M,
3-Feb-09,323.48,319.47,330.54,315.27,27.91M,
4-Feb-09,323.81,325.66,331.24,320.73,16.02M,
5-Feb-09,319.17,329.13,329.13,314.8,16.58M,
6-Feb-09,333.06,321.95,334.33,320.86,17.53M,
9-Feb-09,344.16,335.57,346.47,332.1,17.92M,
10-Feb-09,347.2,343.96,350.21,339.87,27.44M,
11-Feb-09,342.07,338.05,344.06,337.06,16.98M,
12-Feb-09,334.71,341.44,341.44,333.17,12.70M,
13-Feb-09,344.83,338.54,347.7,337.06,11.73M,
16-Feb-09,326.95,342.86,345.98,324.7,18.55M,
17-Feb-09,313.85,322.23,323.68,311.6,15.46M,
18-Feb-09,320.75,313.78,326.36,307.09,18.47M,
19-Feb-09,320.4,319.47,324.18,317.52,12.13M,
20-Feb-09,310.41,311.06,317.74,307.47,14.85M,
24-Feb-09,310.37,305.85,312.93,297.52,18.45M,
25-Feb-09,313.66,313.28,318.48,312.67,11.93M,
26-Feb-09,319.67,311.55,321.21,309.89,15.50M,
27-Feb-09,313.54,319.32,320.21,308.71,19.42M,
2-Mar-09,303.54,304.29,312.96,300.9,19.94M,
3-Mar-09,296.4,304.61,310.05,290.99,21.15M,
4-Mar-09,299.93,286.13,301.57,286.13,24.13M,
5-Mar-09,284.75,299.16,302.14,282.88,28.74M,
6-Mar-09,289.73,279.85,291.49,276.21,18.42M,
9-Mar-09,285.63,287.52,289.26,281.87,13.51M,
12-Mar-09,297.68,292.48,300.8,286.78,19.64M,
13-Mar-09,318.05,304.59,320.41,303.62,16.61M,
16-Mar-09,328.78,318.05,330.37,314.77,18.28M,
17-Mar-09,322,329.38,332.6,320.25,19.20M,
18-Mar-09,329.72,325.69,337.3,325.69,17.64M,
19-Mar-09,333.27,331.36,335.28,326.93,17.53M,
20-Mar-09,331.66,331.61,336.78,327.4,20.62M,
