Date,Price,Open,High,Low,Volume,
1/2/2009,133.19,131.5,135,131.22,24.16M,
1/5/2009,136.08,135.4,137.76,134.8,26.93M,
1/6/2009,132.28,138.87,138.87,129.8,35.97M,
1/7/2009,124,132.5,134.97,122.01,37.27M,
1/8/2009,122.11,122,125.17,117.64,25.00M,
1/9/2009,115.89,120.5,122.32,110.83,40.93M,
1/12/2009,117.49,114.5,118.63,114.04,22.84M,
1/13/2009,119.69,118,121.14,117.14,17.23M,
1/14/2009,114.72,117.5,117.5,113.2,18.85M,
1/15/2009,116.42,115.5,117.66,115.1,16.21M,
1/16/2009,114.64,116.3,118.3,113.91,21.40M,
1/19/2009,111.29,113.2,113.5,110.22,18.01M,
1/20/2009,108.12,110,110.98,107,23.45M,
1/21/2009,109.03,109.99,110.4,106.61,23.95M,
1/22/2009,104.15,107.94,111.1,103.11,43.60M,
1/23/2009,108.77,106,109.4,106,38.19M,
1/26/2009,111.25,109.23,111.77,106.53,34.35M,
1/27/2009,109.92,113,116.4,108.86,35.92M,
1/28/2009,115.1,109.48,115.9,107.67,28.34M,
1/29/2009,109.58,113.9,113.9,108.52,25.80M,
1/30/2009,109.23,106.62,113.3,106.62,28.29M,
2/2/2009,109.68,110,111.97,108.61,19.60M,
2/3/2009,109.47,110.25,110.97,108.2,16.52M,
2/4/2009,111.86,111,112.4,110,13.31M,
2/5/2009,114.75,112.5,115.4,111.6,15.70M,
2/6/2009,116.41,117.37,118.39,114.3,18.73M,
2/9/2009,115.89,115.7,116.5,110.7,16.53M,
2/10/2009,115.92,114.69,117.66,114.5,19.72M,
2/11/2009,119.59,116.6,120.59,116.6,23.08M,
2/12/2009,113.69,118.06,119.19,112.76,26.65M,
2/13/2009,109.88,112.8,112.8,109.14,25.74M,
2/16/2009,107.09,109.8,110.5,106.5,21.87M,
2/17/2009,105.87,108.8,109.35,105.1,28.70M,
2/18/2009,104.41,104.78,105.64,103.5,24.87M,
2/19/2009,102.78,105.06,105.06,99.61,23.88M,
2/20/2009,103.66,105.5,105.9,103,21.45M,
2/23/2009,102.31,103.9,105.5,101.5,25.94M,
2/24/2009,102.53,102.34,103.6,100.62,31.33M,
2/25/2009,99.45,101.47,101.5,98.5,29.77M,
2/26/2009,97.44,99.5,100.7,96.85,29.95M,
2/27/2009,95.69,98.2,98.6,95.1,32.64M,
3/2/2009,93.44,96.99,97.8,92.3,39.91M,
3/3/2009,94.11,92.5,95.79,91.11,34.06M,
3/4/2009,89.53,93.2,93.95,89.15,30.24M,
3/5/2009,91.12,93.4,93.4,89.71,28.73M,
3/6/2009,95.31,92.28,95.57,92.28,27.14M,
3/9/2009,98.7,95.59,99.1,95.44,26.74M,
3/10/2009,95,99.1,99.79,94.66,31.75M,
3/11/2009,96.03,95.48,97.5,95.48,33.18M,
3/12/2009,96.87,95.8,97.6,93.6,36.35M,
3/13/2009,95.47,95.66,96.85,94.5,25.12M,
3/16/2009,102.36,96.5,102.96,96.12,41.96M,
3/17/2009,103.22,103.5,108.5,102.5,49.52M,
3/18/2009,105,103.9,105.95,102.22,44.39M,
3/19/2009,109.55,106.38,110.5,104.83,61.47M,
3/20/2009,112.43,110.5,113.4,108.53,47.12M,
3/23/2009,102.23,111.1,111.9,101.4,36.70M,
3/24/2009,106.71,103.2,108.5,99.51,57.94M,
3/25/2009,107.75,107.61,108.47,102.33,41.16M,
3/26/2009,114.7,110.11,117,110.11,54.60M,
3/27/2009,112.47,117.55,119.4,110.83,43.53M,
3/30/2009,112.38,109,113.9,107.03,40.75M,
3/31/2009,114.03,115.02,116.19,111.33,51.46M,
4/1/2009,121.79,116.08,123,115.5,38.23M,
4/2/2009,129.48,119.03,131,118.57,46.07M,
4/3/2009,126.08,130.5,132.09,125,44.29M,
4/6/2009,130.48,129.9,135.5,127.67,41.97M,
4/7/2009,129.47,131,134.2,127.51,31.77M,
4/8/2009,125.38,127.06,128.5,124.06,32.37M,
