Date	Price	Open	High	Low	Volume	Change %
2-Jan-09	133.19	131.5	135	131.22	24.16M	1.19%
5-Jan-09	136.08	135.4	137.76	134.8	26.93M	2.17%
6-Jan-09	132.28	138.87	138.87	129.8	35.97M	-2.79%
7-Jan-09	124	132.5	134.97	122.01	37.27M	-6.26%
9-Jan-09	122.11	122	125.17	117.64	25.00M	-1.52%
12-Jan-09	115.89	120.5	122.32	110.83	40.93M	-5.09%
13-Jan-09	117.49	114.5	118.63	114.04	22.84M	1.38%
14-Jan-09	119.69	118	121.14	117.14	17.23M	1.87%
15-Jan-09	114.72	117.5	117.5	113.2	18.85M	-4.15%
16-Jan-09	116.42	115.5	117.66	115.1	16.21M	1.48%
19-Jan-09	114.64	116.3	118.3	113.91	21.40M	-1.53%
20-Jan-09	111.29	113.2	113.5	110.22	18.01M	-2.92%
21-Jan-09	108.12	110	110.98	107	23.45M	-2.85%
22-Jan-09	109.03	109.99	110.4	106.61	23.95M	0.84%
23-Jan-09	104.15	107.94	111.1	103.11	43.60M	-4.48%
27-Jan-09	108.77	106	109.4	106	38.19M	4.44%
28-Jan-09	111.25	109.23	111.77	106.53	34.35M	2.28%
29-Jan-09	109.92	113	116.4	108.86	35.92M	-1.20%
30-Jan-09	115.1	109.48	115.9	107.67	28.34M	4.71%
2-Feb-09	109.58	113.9	113.9	108.52	25.80M	-4.80%
3-Feb-09	109.23	106.62	113.3	106.62	28.29M	-0.32%
4-Feb-09	109.68	110	111.97	108.61	19.60M	0.41%
5-Feb-09	109.47	110.25	110.97	108.2	16.52M	-0.19%
6-Feb-09	111.86	111	112.4	110	13.31M	2.18%
9-Feb-09	114.75	112.5	115.4	111.6	15.70M	2.58%
10-Feb-09	116.41	117.37	118.39	114.3	18.73M	1.45%
11-Feb-09	115.89	115.7	116.5	110.7	16.53M	-0.45%
12-Feb-09	115.92	114.69	117.66	114.5	19.72M	0.03%
13-Feb-09	119.59	116.6	120.59	116.6	23.08M	3.17%
16-Feb-09	113.69	118.06	119.19	112.76	26.65M	-4.93%
17-Feb-09	109.88	112.8	112.8	109.14	25.74M	-3.35%
18-Feb-09	107.09	109.8	110.5	106.5	21.87M	-2.54%
19-Feb-09	105.87	108.8	109.35	105.1	28.70M	-1.14%
20-Feb-09	104.41	104.78	105.64	103.5	24.87M	-1.38%
24-Feb-09	102.78	105.06	105.06	99.61	23.88M	-1.56%
25-Feb-09	103.66	105.5	105.9	103	21.45M	0.86%
26-Feb-09	102.31	103.9	105.5	101.5	25.94M	-1.30%
27-Feb-09	102.53	102.34	103.6	100.62	31.33M	0.22%
2-Mar-09	99.45	101.47	101.5	98.5	29.77M	-3.00%
3-Mar-09	97.44	99.5	100.7	96.85	29.95M	-2.02%
4-Mar-09	95.69	98.2	98.6	95.1	32.64M	-1.80%
5-Mar-09	93.44	96.99	97.8	92.3	39.91M	-2.35%
6-Mar-09	94.11	92.5	95.79	91.11	34.06M	0.72%
9-Mar-09	89.53	93.2	93.95	89.15	30.24M	-4.87%
12-Mar-09	91.12	93.4	93.4	89.71	28.73M	1.78%
13-Mar-09	95.31	92.28	95.57	92.28	27.14M	4.60%
16-Mar-09	98.7	95.59	99.1	95.44	26.74M	3.56%
17-Mar-09	95	99.1	99.79	94.66	31.75M	-3.75%
18-Mar-09	96.03	95.48	97.5	95.48	33.18M	1.08%
19-Mar-09	96.87	95.8	97.6	93.6	36.35M	0.87%
20-Mar-09	95.47	95.66	96.85	94.5	25.12M	-1.45%
23-Mar-09	102.36	96.5	102.96	96.12	41.96M	7.22%
24-Mar-09	103.22	103.5	108.5	102.5	49.52M	0.84%
25-Mar-09	105	103.9	105.95	102.22	44.39M	1.72%
26-Mar-09	109.55	106.38	110.5	104.83	61.47M	4.33%
27-Mar-09	112.43	110.5	113.4	108.53	47.12M	2.63%
30-Mar-09	102.23	111.1	111.9	101.4	36.70M	-9.07%
31-Mar-09	106.71	103.2	108.5	99.51	57.94M	4.38%
1-Apr-09	107.75	107.61	108.47	102.33	41.16M	0.97%
2-Apr-09	114.7	110.11	117	110.11	54.60M	6.45%
6-Apr-09	112.47	117.55	119.4	110.83	43.53M	-1.94%
8-Apr-09	112.38	109	113.9	107.03	40.75M	-0.08%
9-Apr-09	114.03	115.02	116.19	111.33	51.46M	1.47%
13-Apr-09	121.79	116.08	123	115.5	38.23M	6.81%
15-Apr-09	129.48	119.03	131	118.57	46.07M	6.31%
16-Apr-09	126.08	130.5	132.09	125	44.29M	-2.63%
17-Apr-09	130.48	129.9	135.5	127.67	41.97M	3.49%
20-Apr-09	129.47	131	134.2	127.51	31.77M	-0.77%
21-Apr-09	125.38	127.06	128.5	124.06	32.37M	-3.16%
22-Apr-09	123.14	126.49	127.8	122.3	26.71M	-1.79%
23-Apr-09	126.59	123.33	128.09	120.14	23.67M	2.80%
24-Apr-09	131.12	127.45	132.5	125.9	32.58M	3.58%
27-Apr-09	127.82	128.9	133	126.5	39.04M	-2.52%
28-Apr-09	123.56	127.6	129.85	123	26.92M	-3.33%
29-Apr-09	127.86	124.5	129.19	124.2	26.36M	3.48%
4-May-09	136.62	132.53	137.3	132.26	26.07M	6.85%
5-May-09	134.52	137.5	138.6	133.57	33.06M	-1.54%
6-May-09	132.25	135.4	137.7	131.01	31.13M	-1.69%
7-May-09	136.95	137.87	137.87	133.5	22.24M	3.55%
8-May-09	132.46	136.97	137.5	130.61	29.10M	-3.28%
11-May-09	125.82	134.5	137.4	124.71	47.71M	-5.01%
12-May-09	129.51	125	130	124	36.14M	2.93%
13-May-09	126.14	130	131	125.5	32.43M	-2.60%
14-May-09	126.73	124.97	127.59	121.94	30.00M	0.47%
15-May-09	131.35	126.7	132.5	126.7	31.35M	3.65%
18-May-09	157.66	144.5	168.8	144.5	586.24K	20.03%
19-May-09	175.4	164.8	184.38	150	88.02M	11.25%
20-May-09	178.12	174	182	171.2	42.96M	1.55%
21-May-09	171.22	176	177.9	170	33.94M	-3.87%
22-May-09	173.2	168.7	173.99	167.6	27.54M	1.16%
25-May-09	172.24	173.68	174.27	169.5	19.43M	-0.55%
26-May-09	168.94	170.6	176.05	167	23.27M	-1.92%
27-May-09	179.29	171.01	179.97	171.01	24.89M	6.13%
28-May-09	182.96	178	183.7	176.75	33.88M	2.05%
29-May-09	186.88	183.1	189.22	182.7	27.54M	2.14%
1-Jun-09	187.68	203.97	203.97	184.27	24.86M	0.43%
2-Jun-09	190.69	188	194.1	181.88	29.94M	1.60%
3-Jun-09	187.96	191.5	192.99	185.8	22.32M	-1.43%
4-Jun-09	188.29	186.5	189.53	184.1	18.60M	0.18%
5-Jun-09	181.76	189.5	189.8	181	29.53M	-3.47%
8-Jun-09	169.59	182.9	183	168.43	29.20M	-6.70%
9-Jun-09	176.36	168.99	177.5	167.9	27.42M	3.99%
10-Jun-09	175.68	176.4	179.99	174.01	24.85M	-0.39%
11-Jun-09	169.35	176.5	176.5	168	24.16M	-3.60%
12-Jun-09	163.46	171	172.34	162.6	26.69M	-3.48%
15-Jun-09	164.19	162.9	167.4	161	22.15M	0.45%
16-Jun-09	171.44	161.64	172.2	159.9	26.33M	4.42%
17-Jun-09	166.24	170.9	171.8	165.28	19.30M	-3.03%
18-Jun-09	170.33	169.78	172.87	165.9	30.38M	2.46%
19-Jun-09	172.46	171.53	174.5	167.71	21.37M	1.25%
22-Jun-09	169.54	173.1	176	168.6	23.36M	-1.69%
23-Jun-09	170.79	167.5	172.5	166.44	20.58M	0.74%
24-Jun-09	171.68	172.4	173	169.5	14.68M	0.52%
25-Jun-09	170.4	173	174	170	24.18M	-0.75%
26-Jun-09	174.93	170.99	175.9	169	24.41M	2.66%
