Date,Price,Open,High,Low,Volume,
2-Jan-09,120.26,119.96,122.78,119.26,5.38M,
5-Jan-09,124.36,121.16,126.23,120.19,4.83M,
6-Jan-09,122.22,124.3,125.98,120.25,5.92M,
7-Jan-09,121.83,125.26,125.45,112.13,9.01M,
9-Jan-09,129.59,120.65,132.69,117.06,14.22M,
12-Jan-09,123.7,123.49,127.92,121.91,7.60M,
13-Jan-09,126.87,120.58,129.61,117.83,13.36M,
14-Jan-09,130.08,127.43,134.58,127.43,5.96M,
15-Jan-09,123.2,125.5,126.23,120.28,7.17M,
16-Jan-09,121.4,122.78,125.26,117.42,9.79M,
19-Jan-09,120.86,125,125,117.61,6.87M,
20-Jan-09,119.82,119.4,122.58,118.26,4.64M,
21-Jan-09,118.82,118.5,120.92,117.06,3.67M,
22-Jan-09,119.85,119.47,121.65,116.61,4.85M,
23-Jan-09,117.33,118.29,120.41,116.64,3.03M,
27-Jan-09,120.46,118.5,124.3,118.5,5.24M,
28-Jan-09,122.47,114.69,123.09,114.69,4.79M,
29-Jan-09,122.94,123.58,125.02,119.73,10.02M,
30-Jan-09,123.47,121.88,124.3,120.26,8.71M,
2-Feb-09,118.58,122.8,122.8,117.57,3.23M,
3-Feb-09,120.64,118.99,123.04,118.99,3.81M,
4-Feb-09,120.35,121.4,123.79,118.99,2.48M,
5-Feb-09,116.55,120.68,121.3,115.43,4.34M,
6-Feb-09,121.35,118.26,122.58,117.54,6.84M,
9-Feb-09,124.3,120.68,126.38,119.87,4.60M,
10-Feb-09,126.61,124.78,127.43,123.33,6.79M,
11-Feb-09,124.24,125.02,126.23,123.57,4.50M,
12-Feb-09,123.06,123.57,124.46,121.66,2.84M,
13-Feb-09,123.38,123.09,125.5,122.36,3.26M,
16-Feb-09,120.86,122.51,124.28,120.19,2.50M,
17-Feb-09,117.12,119.71,120.63,115.85,2.95M,
18-Feb-09,116.03,116.17,118.48,115.12,2.63M,
19-Feb-09,118.14,116.33,118.94,115.61,3.48M,
20-Feb-09,114.41,117.42,117.66,112.06,4.77M,
24-Feb-09,113.17,113.43,114.81,111.14,4.50M,
25-Feb-09,116.03,113.43,117.01,113.43,5.52M,
26-Feb-09,116.38,116.09,118.41,115.12,8.81M,
27-Feb-09,116.6,116.33,118.02,109.87,6.75M,
2-Mar-09,110.99,114.42,116.33,109.77,3.99M,
3-Mar-09,107.69,109.09,112.47,106.04,3.56M,
4-Mar-09,111.15,108.13,112.1,107.69,3.26M,
5-Mar-09,111.79,112.22,113.65,110.54,4.28M,
6-Mar-09,116.26,111.02,117.02,110.45,5.81M,
9-Mar-09,111.75,113.7,115.85,110.78,4.54M,
12-Mar-09,115.22,111.42,117.06,111.42,8.62M,
13-Mar-09,122.33,114.24,123.09,114.24,10.20M,
16-Mar-09,125.45,123.09,126.18,121.25,4.67M,
17-Mar-09,120.08,124.3,125.02,119,6.95M,
18-Mar-09,121.92,120.68,124.17,120.68,6.41M,
19-Mar-09,124.28,122,125.02,121.06,7.38M,
20-Mar-09,123.04,127.65,127.65,122,4.14M,
23-Mar-09,125.42,126.59,127.82,123.33,4.59M,
24-Mar-09,125.9,126.03,128.52,123.62,6.68M,
25-Mar-09,126.95,121.56,127.89,121.56,3.83M,
26-Mar-09,134.78,123.73,139.49,123.73,15.23M,
27-Mar-09,138.74,129.52,141.19,129.52,7.08M,
30-Mar-09,126.29,128.82,137.57,125.02,5.15M,
31-Mar-09,129.98,126.71,131.27,126.71,4.78M,
1-Apr-09,131.42,129.36,133.66,125.62,6.72M,
2-Apr-09,139.68,131.69,141.67,131.69,8.50M,
6-Apr-09,139.87,141.14,143.36,138.95,5.41M,
8-Apr-09,145.81,141.21,148.12,135.4,10.19M,
9-Apr-09,145.43,147.71,149.61,143.42,6.59M,
13-Apr-09,142.94,145.9,146.98,138.82,4.12M,
15-Apr-09,139.43,133.12,140.42,132.75,9.77M,
16-Apr-09,138.06,139.98,142.16,136.89,8.87M,
17-Apr-09,138.32,139.21,144.69,136.39,6.66M,
20-Apr-09,135.49,133.41,140.42,133.41,5.33M,
21-Apr-09,132.92,139.89,142.03,131.54,11.49M,
22-Apr-09,131.04,135.16,136.27,129.64,6.58M,
23-Apr-09,137.11,132.62,138.26,131.58,7.37M,
24-Apr-09,140.92,135.14,141.67,135.14,5.38M,
27-Apr-09,145.27,140.91,146.93,138.17,8.14M,
28-Apr-09,144.45,144.59,146.7,139.1,8.39M,
29-Apr-09,150.51,145.29,151.81,145.29,10.53M,
4-May-09,160.84,152.29,168.85,152.09,11.14M,
5-May-09,157.12,161.46,162.9,153.52,8.82M,
6-May-09,153.34,154.04,156.81,148.43,52.52M,
7-May-09,152.46,153.5,155.67,149.47,7.74M,
8-May-09,152.28,151.57,154.95,149.28,9.00M,
11-May-09,148.49,154.1,154.38,146.98,5.30M,
12-May-09,154.73,147.22,155.86,147.22,9.49M,
13-May-09,150.05,154.95,155.65,148.43,7.32M,
14-May-09,149.59,149.15,151.33,146.09,9.44M,
15-May-09,155.44,150.6,158.05,150.6,10.94M,
18-May-09,179.53,185.02,191.05,167.74,73.38K,
19-May-09,161.64,181.01,181.01,158.23,13.02M,
20-May-09,163.31,161.7,169.42,160.02,8.51M,
21-May-09,156.26,161.7,165.33,155.43,4.46M,
